Date : 2026-01-12 22:58:31
Directory : /Users/maksym/Documents/Projects/Roomly/frontend/src
Total : 101 files,  2219 codes, 28 comments, 387 blanks, all 2634 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/sessions/pages/main-page/main-page.html  | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/sessions/pages/main-page/main-page.ts    | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/sessions/routes.ts                       | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.css   | PostCSS    |          0 |          0 |          1 |          1 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.html  | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.ts    | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/routes.ts                       | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/template/routes.ts                       | TypeScript |          0 |          9 |          1 |         10 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.css      | PostCSS    |          0 |          0 |          1 |          1 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.html     | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.ts       | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/routes.ts                          | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.css                 | PostCSS    |          9 |          0 |          6 |         15 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.html                | HTML       |          4 |          0 |          1 |          5 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.ts                  | TypeScript |         32 |          0 |          6 |         38 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.css               | PostCSS    |          8 |          0 |          2 |         10 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.html              | HTML       |          2 |          0 |          1 |          3 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.ts                | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.css       | PostCSS    |         28 |          0 |          6 |         34 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.html      | HTML       |         17 |          0 |          1 |         18 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.ts        | TypeScript |         68 |         10 |          4 |         82 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.css   | PostCSS    |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.html  | HTML       |          2 |          0 |          1 |          3 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.ts    | TypeScript |         22 |          0 |          4 |         26 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.css                                 | PostCSS    |         37 |          0 |          6 |         43 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.html                                | HTML       |         19 |          0 |          2 |         21 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.ts                                  | TypeScript |         35 |          0 |          3 |         38 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/directives/click-outside.ts                | TypeScript |         26 |          0 |          6 |         32 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/directives/visibleOnce.ts                  | TypeScript |         33 |          0 |          6 |         39 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/pipes/fileToDataUrl.pipe.ts                | TypeScript |         16 |          0 |          3 |         19 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/pipes/img.pipe.ts                          | TypeScript |         25 |          0 |          3 |         28 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.css                         | PostCSS    |         11 |          1 |          5 |         17 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.html                        | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.ts                          | TypeScript |         10 |          0 |          3 |         13 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.css         | PostCSS    |         13 |          0 |          5 |         18 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.html        | HTML       |          3 |          0 |          1 |          4 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.ts          | TypeScript |         12 |          0 |          3 |         15 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.css                         | PostCSS    |         31 |          0 |          5 |         36 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.html                        | HTML       |          6 |          0 |          0 |          6 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.ts                          | TypeScript |         11 |          0 |          4 |         15 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.css         | PostCSS    |         61 |          0 |         13 |         74 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.html        | HTML       |         11 |          0 |          2 |         13 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.ts          | TypeScript |         17 |          0 |          3 |         20 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.css               | PostCSS    |         24 |          0 |          4 |         28 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.html              | HTML       |         20 |          0 |          2 |         22 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.ts                | TypeScript |         38 |          0 |          9 |         47 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.css                       | PostCSS    |         79 |          1 |         15 |         95 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.html                      | HTML       |         54 |          0 |          2 |         56 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.ts                        | TypeScript |         90 |          0 |         19 |        109 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.css                             | PostCSS    |         23 |          0 |          7 |         30 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.html                            | HTML       |          4 |          0 |          1 |          5 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.ts                              | TypeScript |         31 |          0 |          9 |         40 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.css                           | PostCSS    |         41 |          0 |          5 |         46 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.html                          | HTML       |         27 |          0 |          1 |         28 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.ts                            | TypeScript |         19 |          0 |          2 |         21 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/index.html                                            | HTML       |         12 |          0 |          1 |         13 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/main.ts                                               | TypeScript |          5 |          0 |          2 |          7 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/styles.css                                            | PostCSS    |        140 |          2 |         28 |        170 |
| Total                                                                                                      |            |      2,219 |         28 |        387 |      2,634 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
